week,week_start,product,warehouse,closing_stock_units
W1,2026-05-01,Cloud Sneaker - Grey,Delhi-DC1,731
W1,2026-05-01,Cloud Sneaker - Black,Delhi-DC1,490
W1,2026-05-01,Trail Runner - Olive,Delhi-DC1,456
W1,2026-05-01,Classic Slip-On - White,Mumbai-DC2,764
W1,2026-05-01,Everyday Loafer - Tan,Bengaluru-DC3,328
W1,2026-05-01,Recycled Runner - Navy,Bengaluru-DC3,510
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Delhi-DC1,746
W1,2026-05-01,Kids Comfort Shoe - Blue,Bengaluru-DC3,714
W2,2026-05-08,Cloud Sneaker - Grey,Delhi-DC1,340
W2,2026-05-08,Cloud Sneaker - Black,Mumbai-DC2,541
W2,2026-05-08,Trail Runner - Olive,Mumbai-DC2,731
W2,2026-05-08,Classic Slip-On - White,Bengaluru-DC3,352
W2,2026-05-08,Everyday Loafer - Tan,Delhi-DC1,727
W2,2026-05-08,Recycled Runner - Navy,Bengaluru-DC3,535
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Delhi-DC1,526
W2,2026-05-08,Kids Comfort Shoe - Blue,Bengaluru-DC3,602
W3,2026-05-15,Cloud Sneaker - Grey,Delhi-DC1,763
W3,2026-05-15,Cloud Sneaker - Black,Mumbai-DC2,361
W3,2026-05-15,Trail Runner - Olive,Mumbai-DC2,687
W3,2026-05-15,Classic Slip-On - White,Mumbai-DC2,404
W3,2026-05-15,Everyday Loafer - Tan,Mumbai-DC2,528
W3,2026-05-15,Recycled Runner - Navy,Delhi-DC1,260
W3,2026-05-15,Wool Blend Sneaker - Charcoal,Delhi-DC1,787
W3,2026-05-15,Kids Comfort Shoe - Blue,Bengaluru-DC3,747
W4,2026-05-22,Cloud Sneaker - Grey,Delhi-DC1,673
W4,2026-05-22,Cloud Sneaker - Black,Bengaluru-DC3,515
W4,2026-05-22,Trail Runner - Olive,Mumbai-DC2,222
W4,2026-05-22,Classic Slip-On - White,Delhi-DC1,460
W4,2026-05-22,Everyday Loafer - Tan,Bengaluru-DC3,423
W4,2026-05-22,Recycled Runner - Navy,Delhi-DC1,274
W4,2026-05-22,Wool Blend Sneaker - Charcoal,Mumbai-DC2,633
W4,2026-05-22,Kids Comfort Shoe - Blue,Bengaluru-DC3,265
W5,2026-05-29,Cloud Sneaker - Grey,Delhi-DC1,748
W5,2026-05-29,Cloud Sneaker - Black,Delhi-DC1,395
W5,2026-05-29,Trail Runner - Olive,Mumbai-DC2,474
W5,2026-05-29,Classic Slip-On - White,Delhi-DC1,240
W5,2026-05-29,Everyday Loafer - Tan,Bengaluru-DC3,392
W5,2026-05-29,Recycled Runner - Navy,Delhi-DC1,772
W5,2026-05-29,Wool Blend Sneaker - Charcoal,Delhi-DC1,690
W5,2026-05-29,Kids Comfort Shoe - Blue,Mumbai-DC2,540
W6,2026-06-05,Cloud Sneaker - Grey,Delhi-DC1,586
W6,2026-06-05,Cloud Sneaker - Black,Mumbai-DC2,765
W6,2026-06-05,Trail Runner - Olive,Bengaluru-DC3,257
W6,2026-06-05,Classic Slip-On - White,Bengaluru-DC3,209
W6,2026-06-05,Everyday Loafer - Tan,Delhi-DC1,375
W6,2026-06-05,Recycled Runner - Navy,Mumbai-DC2,711
W6,2026-06-05,Wool Blend Sneaker - Charcoal,Bengaluru-DC3,539
W6,2026-06-05,Kids Comfort Shoe - Blue,Bengaluru-DC3,297
W7,2026-06-12,Cloud Sneaker - Grey,Delhi-DC1,309
W7,2026-06-12,Cloud Sneaker - Black,Mumbai-DC2,338
W7,2026-06-12,Trail Runner - Olive,Mumbai-DC2,206
W7,2026-06-12,Classic Slip-On - White,Bengaluru-DC3,540
W7,2026-06-12,Everyday Loafer - Tan,Mumbai-DC2,589
W7,2026-06-12,Recycled Runner - Navy,Mumbai-DC2,650
