week,week_start,product,city,units_sold,revenue_inr
W1,2026-05-01,Cloud Sneaker - Grey,Delhi,19,34181
W1,2026-05-01,Cloud Sneaker - Grey,Mumbai,23,45977
W1,2026-05-01,Cloud Sneaker - Grey,Bengaluru,21,41979
W1,2026-05-01,Cloud Sneaker - Grey,Pune,16,36784
W1,2026-05-01,Cloud Sneaker - Grey,Hyderabad,24,43176
W1,2026-05-01,Cloud Sneaker - Grey,Chennai,13,29887
W1,2026-05-01,Cloud Sneaker - Grey,Jaipur,22,43978
W1,2026-05-01,Cloud Sneaker - Grey,Ahmedabad,17,39083
W1,2026-05-01,Cloud Sneaker - Black,Delhi,24,55176
W1,2026-05-01,Cloud Sneaker - Black,Mumbai,22,39578
W1,2026-05-01,Cloud Sneaker - Black,Bengaluru,12,21588
W1,2026-05-01,Cloud Sneaker - Black,Pune,21,48279
W1,2026-05-01,Cloud Sneaker - Black,Hyderabad,24,47976
W1,2026-05-01,Cloud Sneaker - Black,Chennai,12,21588
W1,2026-05-01,Cloud Sneaker - Black,Jaipur,13,23387
W1,2026-05-01,Cloud Sneaker - Black,Ahmedabad,24,55176
W1,2026-05-01,Trail Runner - Olive,Delhi,17,33983
W1,2026-05-01,Trail Runner - Olive,Mumbai,18,41382
W1,2026-05-01,Trail Runner - Olive,Bengaluru,12,27588
W1,2026-05-01,Trail Runner - Olive,Pune,14,32186
W1,2026-05-01,Trail Runner - Olive,Hyderabad,19,37981
W1,2026-05-01,Trail Runner - Olive,Chennai,17,33983
W1,2026-05-01,Trail Runner - Olive,Jaipur,24,43176
W1,2026-05-01,Trail Runner - Olive,Ahmedabad,21,37779
W1,2026-05-01,Classic Slip-On - White,Delhi,20,39980
W1,2026-05-01,Classic Slip-On - White,Mumbai,18,35982
W1,2026-05-01,Classic Slip-On - White,Bengaluru,22,43978
W1,2026-05-01,Classic Slip-On - White,Pune,15,26985
W1,2026-05-01,Classic Slip-On - White,Hyderabad,12,27588
W1,2026-05-01,Classic Slip-On - White,Chennai,14,27986
W1,2026-05-01,Classic Slip-On - White,Jaipur,20,39980
W1,2026-05-01,Classic Slip-On - White,Ahmedabad,20,35980
W1,2026-05-01,Everyday Loafer - Tan,Delhi,16,31984
W1,2026-05-01,Everyday Loafer - Tan,Mumbai,23,45977
W1,2026-05-01,Everyday Loafer - Tan,Bengaluru,15,34485
W1,2026-05-01,Everyday Loafer - Tan,Pune,16,36784
W1,2026-05-01,Everyday Loafer - Tan,Hyderabad,19,34181
W1,2026-05-01,Everyday Loafer - Tan,Chennai,13,23387
W1,2026-05-01,Everyday Loafer - Tan,Jaipur,13,25987
W1,2026-05-01,Everyday Loafer - Tan,Ahmedabad,14,32186
W1,2026-05-01,Recycled Runner - Navy,Delhi,19,34181
W1,2026-05-01,Recycled Runner - Navy,Mumbai,24,55176
W1,2026-05-01,Recycled Runner - Navy,Bengaluru,17,39083
W1,2026-05-01,Recycled Runner - Navy,Pune,17,39083
W1,2026-05-01,Recycled Runner - Navy,Hyderabad,13,29887
W1,2026-05-01,Recycled Runner - Navy,Chennai,20,39980
W1,2026-05-01,Recycled Runner - Navy,Jaipur,16,28784
W1,2026-05-01,Recycled Runner - Navy,Ahmedabad,23,52877
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Delhi,23,52877
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Mumbai,14,27986
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Bengaluru,20,35980
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Pune,13,23387
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Hyderabad,24,43176
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Chennai,15,29985
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Jaipur,12,23988
W1,2026-05-01,Wool Blend Sneaker - Charcoal,Ahmedabad,20,45980
W1,2026-05-01,Kids Comfort Shoe - Blue,Delhi,17,33983
W1,2026-05-01,Kids Comfort Shoe - Blue,Mumbai,24,55176
W1,2026-05-01,Kids Comfort Shoe - Blue,Bengaluru,14,32186
W1,2026-05-01,Kids Comfort Shoe - Blue,Pune,13,23387
W1,2026-05-01,Kids Comfort Shoe - Blue,Hyderabad,16,31984
W1,2026-05-01,Kids Comfort Shoe - Blue,Chennai,23,52877
W1,2026-05-01,Kids Comfort Shoe - Blue,Jaipur,19,43681
W1,2026-05-01,Kids Comfort Shoe - Blue,Ahmedabad,18,35982
W2,2026-05-08,Cloud Sneaker - Grey,Delhi,14,32186
W2,2026-05-08,Cloud Sneaker - Grey,Mumbai,21,37779
W2,2026-05-08,Cloud Sneaker - Grey,Bengaluru,14,32186
W2,2026-05-08,Cloud Sneaker - Grey,Pune,21,48279
W2,2026-05-08,Cloud Sneaker - Grey,Hyderabad,21,41979
W2,2026-05-08,Cloud Sneaker - Grey,Chennai,21,37779
W2,2026-05-08,Cloud Sneaker - Grey,Jaipur,12,21588
W2,2026-05-08,Cloud Sneaker - Grey,Ahmedabad,12,27588
W2,2026-05-08,Cloud Sneaker - Black,Delhi,24,55176
W2,2026-05-08,Cloud Sneaker - Black,Mumbai,16,36784
W2,2026-05-08,Cloud Sneaker - Black,Bengaluru,15,34485
W2,2026-05-08,Cloud Sneaker - Black,Pune,18,41382
W2,2026-05-08,Cloud Sneaker - Black,Hyderabad,22,39578
W2,2026-05-08,Cloud Sneaker - Black,Chennai,19,43681
W2,2026-05-08,Cloud Sneaker - Black,Jaipur,20,39980
W2,2026-05-08,Cloud Sneaker - Black,Ahmedabad,22,43978
W2,2026-05-08,Trail Runner - Olive,Delhi,19,34181
W2,2026-05-08,Trail Runner - Olive,Mumbai,24,55176
W2,2026-05-08,Trail Runner - Olive,Bengaluru,18,35982
W2,2026-05-08,Trail Runner - Olive,Pune,19,34181
W2,2026-05-08,Trail Runner - Olive,Hyderabad,23,41377
W2,2026-05-08,Trail Runner - Olive,Chennai,14,27986
W2,2026-05-08,Trail Runner - Olive,Jaipur,18,35982
W2,2026-05-08,Trail Runner - Olive,Ahmedabad,19,34181
W2,2026-05-08,Classic Slip-On - White,Delhi,17,39083
W2,2026-05-08,Classic Slip-On - White,Mumbai,14,27986
W2,2026-05-08,Classic Slip-On - White,Bengaluru,23,45977
W2,2026-05-08,Classic Slip-On - White,Pune,23,45977
W2,2026-05-08,Classic Slip-On - White,Hyderabad,18,32382
W2,2026-05-08,Classic Slip-On - White,Chennai,24,47976
W2,2026-05-08,Classic Slip-On - White,Jaipur,20,45980
W2,2026-05-08,Classic Slip-On - White,Ahmedabad,13,25987
W2,2026-05-08,Everyday Loafer - Tan,Delhi,15,29985
W2,2026-05-08,Everyday Loafer - Tan,Mumbai,13,25987
W2,2026-05-08,Everyday Loafer - Tan,Bengaluru,19,34181
W2,2026-05-08,Everyday Loafer - Tan,Pune,14,25186
W2,2026-05-08,Everyday Loafer - Tan,Hyderabad,12,23988
W2,2026-05-08,Everyday Loafer - Tan,Chennai,18,41382
W2,2026-05-08,Everyday Loafer - Tan,Jaipur,18,32382
W2,2026-05-08,Everyday Loafer - Tan,Ahmedabad,14,27986
W2,2026-05-08,Recycled Runner - Navy,Delhi,21,48279
W2,2026-05-08,Recycled Runner - Navy,Mumbai,17,30583
W2,2026-05-08,Recycled Runner - Navy,Bengaluru,24,43176
W2,2026-05-08,Recycled Runner - Navy,Pune,19,43681
W2,2026-05-08,Recycled Runner - Navy,Hyderabad,19,37981
W2,2026-05-08,Recycled Runner - Navy,Chennai,16,31984
W2,2026-05-08,Recycled Runner - Navy,Jaipur,12,21588
W2,2026-05-08,Recycled Runner - Navy,Ahmedabad,18,41382
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Delhi,19,34181
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Mumbai,15,34485
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Bengaluru,17,30583
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Pune,12,23988
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Hyderabad,19,43681
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Chennai,22,50578
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Jaipur,19,37981
W2,2026-05-08,Wool Blend Sneaker - Charcoal,Ahmedabad,20,35980
W2,2026-05-08,Kids Comfort Shoe - Blue,Delhi,13,25987
W2,2026-05-08,Kids Comfort Shoe - Blue,Mumbai,14,27986
W2,2026-05-08,Kids Comfort Shoe - Blue,Bengaluru,23,45977
W2,2026-05-08,Kids Comfort Shoe - Blue,Pune,24,47976
W2,2026-05-08,Kids Comfort Shoe - Blue,Hyderabad,17,30583
W2,2026-05-08,Kids Comfort Shoe - Blue,Chennai,18,32382
W2,2026-05-08,Kids Comfort Shoe - Blue,Jaipur,21,48279
W2,2026-05-08,Kids Comfort Shoe - Blue,Ahmedabad,15,29985
W3,2026-05-15,Cloud Sneaker - Grey,Delhi,23,45977
W3,2026-05-15,Cloud Sneaker - Grey,Mumbai,21,41979
W3,2026-05-15,Cloud Sneaker - Grey,Bengaluru,20,45980
W3,2026-05-15,Cloud Sneaker - Grey,Pune,20,39980
W3,2026-05-15,Cloud Sneaker - Grey,Hyderabad,23,52877
W3,2026-05-15,Cloud Sneaker - Grey,Chennai,16,31984
W3,2026-05-15,Cloud Sneaker - Grey,Jaipur,12,23988
W3,2026-05-15,Cloud Sneaker - Grey,Ahmedabad,17,39083
W3,2026-05-15,Cloud Sneaker - Black,Delhi,13,25987
W3,2026-05-15,Cloud Sneaker - Black,Mumbai,21,41979
W3,2026-05-15,Cloud Sneaker - Black,Bengaluru,24,55176
W3,2026-05-15,Cloud Sneaker - Black,Pune,23,52877
W3,2026-05-15,Cloud Sneaker - Black,Hyderabad,12,27588
W3,2026-05-15,Cloud Sneaker - Black,Chennai,19,37981
W3,2026-05-15,Cloud Sneaker - Black,Jaipur,22,50578
W3,2026-05-15,Cloud Sneaker - Black,Ahmedabad,21,37779
W3,2026-05-15,Trail Runner - Olive,Delhi,23,41377
W3,2026-05-15,Trail Runner - Olive,Mumbai,21,41979
W3,2026-05-15,Trail Runner - Olive,Bengaluru,14,32186
W3,2026-05-15,Trail Runner - Olive,Pune,22,50578
W3,2026-05-15,Trail Runner - Olive,Hyderabad,21,41979
W3,2026-05-15,Trail Runner - Olive,Chennai,14,32186
W3,2026-05-15,Trail Runner - Olive,Jaipur,15,26985
W3,2026-05-15,Trail Runner - Olive,Ahmedabad,21,48279
W3,2026-05-15,Classic Slip-On - White,Delhi,13,23387
